Test,Vertices,Edge Probability,filename
33,15,0.11251878942778651,"6/test_v(15)_p([0.02, 0.4])_no(33).txt"
34,15,0.36272383400545233,"6/test_v(15)_p([0.02, 0.4])_no(34).txt"
35,15,0.16820248862708512,"6/test_v(15)_p([0.02, 0.4])_no(35).txt"
36,15,0.26107427979063513,"6/test_v(15)_p([0.02, 0.4])_no(36).txt"
37,15,0.08208925337112684,"6/test_v(15)_p([0.02, 0.4])_no(37).txt"
38,15,0.030424158605325553,"6/test_v(15)_p([0.02, 0.4])_no(38).txt"
39,15,0.3718187592163702,"6/test_v(15)_p([0.02, 0.4])_no(39).txt"
40,15,0.31520201261482766,"6/test_v(15)_p([0.02, 0.4])_no(40).txt"
41,15,0.34713539767324775,"6/test_v(15)_p([0.02, 0.4])_no(41).txt"
42,15,0.3837035040392785,"6/test_v(15)_p([0.02, 0.4])_no(42).txt"
43,15,0.1407056259113669,"6/test_v(15)_p([0.02, 0.4])_no(43).txt"
44,15,0.169492253303603,"6/test_v(15)_p([0.02, 0.4])_no(44).txt"
45,15,0.09906868212483975,"6/test_v(15)_p([0.02, 0.4])_no(45).txt"
46,15,0.3854391035971041,"6/test_v(15)_p([0.02, 0.4])_no(46).txt"
47,15,0.19653109311408853,"6/test_v(15)_p([0.02, 0.4])_no(47).txt"
48,15,0.2787486933676932,"6/test_v(15)_p([0.02, 0.4])_no(48).txt"
49,15,0.1111558350015228,"6/test_v(15)_p([0.02, 0.4])_no(49).txt"
0,25,0.04947496805825899,"6/test_v(25)_p([0.02, 0.4])_no(0).txt"
1,25,0.35893719919634126,"6/test_v(25)_p([0.02, 0.4])_no(1).txt"
2,25,0.33005623932043765,"6/test_v(25)_p([0.02, 0.4])_no(2).txt"
3,25,0.1126553347722267,"6/test_v(25)_p([0.02, 0.4])_no(3).txt"
4,25,0.19051203378096424,"6/test_v(25)_p([0.02, 0.4])_no(4).txt"
5,25,0.3312215719599636,"6/test_v(25)_p([0.02, 0.4])_no(5).txt"
6,25,0.17796497162749902,"6/test_v(25)_p([0.02, 0.4])_no(6).txt"
7,25,0.13000893815826606,"6/test_v(25)_p([0.02, 0.4])_no(7).txt"
8,25,0.09929325721424155,"6/test_v(25)_p([0.02, 0.4])_no(8).txt"
9,25,0.2700274586378882,"6/test_v(25)_p([0.02, 0.4])_no(9).txt"
10,25,0.22719842452641917,"6/test_v(25)_p([0.02, 0.4])_no(10).txt"
11,25,0.09955401988816173,"6/test_v(25)_p([0.02, 0.4])_no(11).txt"
12,25,0.14952647802130883,"6/test_v(25)_p([0.02, 0.4])_no(12).txt"
13,25,0.17733359088668213,"6/test_v(25)_p([0.02, 0.4])_no(13).txt"
14,25,0.19827466225099846,"6/test_v(25)_p([0.02, 0.4])_no(14).txt"
15,25,0.06607017665940645,"6/test_v(25)_p([0.02, 0.4])_no(15).txt"
16,25,0.08131439986040002,"6/test_v(25)_p([0.02, 0.4])_no(16).txt"
17,25,0.10315477433046288,"6/test_v(25)_p([0.02, 0.4])_no(17).txt"
18,25,0.2139466592934735,"6/test_v(25)_p([0.02, 0.4])_no(18).txt"
19,25,0.2764438282271671,"6/test_v(25)_p([0.02, 0.4])_no(19).txt"
20,25,0.05142403595575658,"6/test_v(25)_p([0.02, 0.4])_no(20).txt"
21,25,0.024197978608515934,"6/test_v(25)_p([0.02, 0.4])_no(21).txt"
22,25,0.06934626076165878,"6/test_v(25)_p([0.02, 0.4])_no(22).txt"
23,25,0.07501004782758608,"6/test_v(25)_p([0.02, 0.4])_no(23).txt"
24,25,0.29098007502673545,"6/test_v(25)_p([0.02, 0.4])_no(24).txt"
25,25,0.21075756722069489,"6/test_v(25)_p([0.02, 0.4])_no(25).txt"
26,25,0.26231203847757295,"6/test_v(25)_p([0.02, 0.4])_no(26).txt"
27,25,0.2355756351942612,"6/test_v(25)_p([0.02, 0.4])_no(27).txt"
28,25,0.18758820550430053,"6/test_v(25)_p([0.02, 0.4])_no(28).txt"
29,25,0.1706695686918242,"6/test_v(25)_p([0.02, 0.4])_no(29).txt"
30,25,0.3632929051031122,"6/test_v(25)_p([0.02, 0.4])_no(30).txt"
31,25,0.024692451218429532,"6/test_v(25)_p([0.02, 0.4])_no(31).txt"
32,25,0.38808592360451744,"6/test_v(25)_p([0.02, 0.4])_no(32).txt"
33,25,0.06683052360876075,"6/test_v(25)_p([0.02, 0.4])_no(33).txt"
34,25,0.1650373408202691,"6/test_v(25)_p([0.02, 0.4])_no(34).txt"
35,25,0.2832452377062175,"6/test_v(25)_p([0.02, 0.4])_no(35).txt"
36,25,0.32518193047333016,"6/test_v(25)_p([0.02, 0.4])_no(36).txt"
37,25,0.2050768751006206,"6/test_v(25)_p([0.02, 0.4])_no(37).txt"
38,25,0.371946550297139,"6/test_v(25)_p([0.02, 0.4])_no(38).txt"
39,25,0.2838347659490126,"6/test_v(25)_p([0.02, 0.4])_no(39).txt"
40,25,0.19761702752433913,"6/test_v(25)_p([0.02, 0.4])_no(40).txt"
41,25,0.15893369636535348,"6/test_v(25)_p([0.02, 0.4])_no(41).txt"
42,25,0.05663611333028419,"6/test_v(25)_p([0.02, 0.4])_no(42).txt"
43,25,0.3553510585565249,"6/test_v(25)_p([0.02, 0.4])_no(43).txt"
44,25,0.24284390658119018,"6/test_v(25)_p([0.02, 0.4])_no(44).txt"
45,25,0.24403182018643713,"6/test_v(25)_p([0.02, 0.4])_no(45).txt"
46,25,0.3407990207450842,"6/test_v(25)_p([0.02, 0.4])_no(46).txt"
47,25,0.10288360101352108,"6/test_v(25)_p([0.02, 0.4])_no(47).txt"
48,25,0.17237408531879506,"6/test_v(25)_p([0.02, 0.4])_no(48).txt"
49,25,0.12751966530502346,"6/test_v(25)_p([0.02, 0.4])_no(49).txt"
0,35,0.07811362567574195,"6/test_v(35)_p([0.02, 0.4])_no(0).txt"
1,35,0.1993637343647216,"6/test_v(35)_p([0.02, 0.4])_no(1).txt"
2,35,0.2564418988598894,"6/test_v(35)_p([0.02, 0.4])_no(2).txt"
3,35,0.2378564995933279,"6/test_v(35)_p([0.02, 0.4])_no(3).txt"
4,35,0.07041000837769314,"6/test_v(35)_p([0.02, 0.4])_no(4).txt"
5,35,0.16540853510521755,"6/test_v(35)_p([0.02, 0.4])_no(5).txt"
6,35,0.32727412249198135,"6/test_v(35)_p([0.02, 0.4])_no(6).txt"
7,35,0.39471884535892815,"6/test_v(35)_p([0.02, 0.4])_no(7).txt"
8,35,0.03271235604535409,"6/test_v(35)_p([0.02, 0.4])_no(8).txt"
9,35,0.2558972012459641,"6/test_v(35)_p([0.02, 0.4])_no(9).txt"
10,35,0.10822093793514034,"6/test_v(35)_p([0.02, 0.4])_no(10).txt"
11,35,0.23718652004966648,"6/test_v(35)_p([0.02, 0.4])_no(11).txt"
12,35,0.35522360197434527,"6/test_v(35)_p([0.02, 0.4])_no(12).txt"
13,35,0.2982927481919147,"6/test_v(35)_p([0.02, 0.4])_no(13).txt"
14,35,0.3391558601029972,"6/test_v(35)_p([0.02, 0.4])_no(14).txt"
15,35,0.22753962918860535,"6/test_v(35)_p([0.02, 0.4])_no(15).txt"
16,35,0.24521415426413573,"6/test_v(35)_p([0.02, 0.4])_no(16).txt"
17,35,0.14947104647518028,"6/test_v(35)_p([0.02, 0.4])_no(17).txt"
18,35,0.29176661429812806,"6/test_v(35)_p([0.02, 0.4])_no(18).txt"
19,35,0.06821095272941544,"6/test_v(35)_p([0.02, 0.4])_no(19).txt"
20,35,0.24783348236457947,"6/test_v(35)_p([0.02, 0.4])_no(20).txt"
21,35,0.16887347937961222,"6/test_v(35)_p([0.02, 0.4])_no(21).txt"
22,35,0.1419630960041333,"6/test_v(35)_p([0.02, 0.4])_no(22).txt"
23,35,0.39233241262143015,"6/test_v(35)_p([0.02, 0.4])_no(23).txt"
24,35,0.11228090608072529,"6/test_v(35)_p([0.02, 0.4])_no(24).txt"
25,35,0.19469393230338825,"6/test_v(35)_p([0.02, 0.4])_no(25).txt"
26,35,0.24485182500887936,"6/test_v(35)_p([0.02, 0.4])_no(26).txt"
27,35,0.22659717492096595,"6/test_v(35)_p([0.02, 0.4])_no(27).txt"
28,35,0.18868935360337719,"6/test_v(35)_p([0.02, 0.4])_no(28).txt"
29,35,0.36623083532801437,"6/test_v(35)_p([0.02, 0.4])_no(29).txt"
30,35,0.08060654104518368,"6/test_v(35)_p([0.02, 0.4])_no(30).txt"
31,35,0.19192293807666974,"6/test_v(35)_p([0.02, 0.4])_no(31).txt"
32,35,0.393906607378935,"6/test_v(35)_p([0.02, 0.4])_no(32).txt"
33,35,0.19548316489800527,"6/test_v(35)_p([0.02, 0.4])_no(33).txt"
34,35,0.12362983678937284,"6/test_v(35)_p([0.02, 0.4])_no(34).txt"
35,35,0.3626031038315772,"6/test_v(35)_p([0.02, 0.4])_no(35).txt"
36,35,0.35021170375203875,"6/test_v(35)_p([0.02, 0.4])_no(36).txt"
37,35,0.0800840436257249,"6/test_v(35)_p([0.02, 0.4])_no(37).txt"
38,35,0.23333825503420255,"6/test_v(35)_p([0.02, 0.4])_no(38).txt"
39,35,0.02735450933879776,"6/test_v(35)_p([0.02, 0.4])_no(39).txt"
40,35,0.31438713787094896,"6/test_v(35)_p([0.02, 0.4])_no(40).txt"
41,35,0.10579767565715446,"6/test_v(35)_p([0.02, 0.4])_no(41).txt"
42,35,0.18015044005095981,"6/test_v(35)_p([0.02, 0.4])_no(42).txt"
43,35,0.04710054827488878,"6/test_v(35)_p([0.02, 0.4])_no(43).txt"
44,35,0.39033122161533795,"6/test_v(35)_p([0.02, 0.4])_no(44).txt"
45,35,0.06948902023668474,"6/test_v(35)_p([0.02, 0.4])_no(45).txt"
46,35,0.1975059365813199,"6/test_v(35)_p([0.02, 0.4])_no(46).txt"
47,35,0.3581684398621641,"6/test_v(35)_p([0.02, 0.4])_no(47).txt"
48,35,0.024400922714606487,"6/test_v(35)_p([0.02, 0.4])_no(48).txt"
49,35,0.261477556230118,"6/test_v(35)_p([0.02, 0.4])_no(49).txt"
0,45,0.23573985393773708,"6/test_v(45)_p([0.02, 0.4])_no(0).txt"
1,45,0.047812294998873614,"6/test_v(45)_p([0.02, 0.4])_no(1).txt"
2,45,0.261099616202848,"6/test_v(45)_p([0.02, 0.4])_no(2).txt"
3,45,0.046033211952894185,"6/test_v(45)_p([0.02, 0.4])_no(3).txt"
4,45,0.3738622509315813,"6/test_v(45)_p([0.02, 0.4])_no(4).txt"
5,45,0.14865899203292443,"6/test_v(45)_p([0.02, 0.4])_no(5).txt"
6,45,0.03645666345560115,"6/test_v(45)_p([0.02, 0.4])_no(6).txt"
7,45,0.0335185144454304,"6/test_v(45)_p([0.02, 0.4])_no(7).txt"
8,45,0.25444906723602667,"6/test_v(45)_p([0.02, 0.4])_no(8).txt"
9,45,0.38345687801099865,"6/test_v(45)_p([0.02, 0.4])_no(9).txt"
10,45,0.17256362056368293,"6/test_v(45)_p([0.02, 0.4])_no(10).txt"
11,45,0.28958708713012965,"6/test_v(45)_p([0.02, 0.4])_no(11).txt"
12,45,0.06935524498868999,"6/test_v(45)_p([0.02, 0.4])_no(12).txt"
13,45,0.19354900323116572,"6/test_v(45)_p([0.02, 0.4])_no(13).txt"
14,45,0.17923380615320864,"6/test_v(45)_p([0.02, 0.4])_no(14).txt"
15,45,0.18763385570395796,"6/test_v(45)_p([0.02, 0.4])_no(15).txt"
16,45,0.22626045487469043,"6/test_v(45)_p([0.02, 0.4])_no(16).txt"
17,45,0.31942214923721024,"6/test_v(45)_p([0.02, 0.4])_no(17).txt"
18,45,0.3733339874634279,"6/test_v(45)_p([0.02, 0.4])_no(18).txt"
19,45,0.36510592769298467,"6/test_v(45)_p([0.02, 0.4])_no(19).txt"
20,45,0.05972383298477936,"6/test_v(45)_p([0.02, 0.4])_no(20).txt"
21,45,0.15858821662122088,"6/test_v(45)_p([0.02, 0.4])_no(21).txt"
22,45,0.15851684899669122,"6/test_v(45)_p([0.02, 0.4])_no(22).txt"
23,45,0.2262618897661013,"6/test_v(45)_p([0.02, 0.4])_no(23).txt"
24,45,0.03791206733997314,"6/test_v(45)_p([0.02, 0.4])_no(24).txt"
25,45,0.2576744953383919,"6/test_v(45)_p([0.02, 0.4])_no(25).txt"
26,45,0.2997405018158101,"6/test_v(45)_p([0.02, 0.4])_no(26).txt"
27,45,0.2530504649818365,"6/test_v(45)_p([0.02, 0.4])_no(27).txt"
28,45,0.3018970489884743,"6/test_v(45)_p([0.02, 0.4])_no(28).txt"
29,45,0.109461576181869,"6/test_v(45)_p([0.02, 0.4])_no(29).txt"
30,45,0.23623997459143137,"6/test_v(45)_p([0.02, 0.4])_no(30).txt"
31,45,0.08055660787978806,"6/test_v(45)_p([0.02, 0.4])_no(31).txt"
32,45,0.09276179221277958,"6/test_v(45)_p([0.02, 0.4])_no(32).txt"
33,45,0.20864096510037328,"6/test_v(45)_p([0.02, 0.4])_no(33).txt"
34,45,0.19099032300729915,"6/test_v(45)_p([0.02, 0.4])_no(34).txt"
35,45,0.17287271182879838,"6/test_v(45)_p([0.02, 0.4])_no(35).txt"
36,45,0.08492704701411237,"6/test_v(45)_p([0.02, 0.4])_no(36).txt"
37,45,0.34358884780162335,"6/test_v(45)_p([0.02, 0.4])_no(37).txt"
38,45,0.05355480398211322,"6/test_v(45)_p([0.02, 0.4])_no(38).txt"
39,45,0.10378750077233312,"6/test_v(45)_p([0.02, 0.4])_no(39).txt"
40,45,0.17150022784497831,"6/test_v(45)_p([0.02, 0.4])_no(40).txt"
41,45,0.12915007284067287,"6/test_v(45)_p([0.02, 0.4])_no(41).txt"
42,45,0.04756231888146169,"6/test_v(45)_p([0.02, 0.4])_no(42).txt"
43,45,0.38782223509928615,"6/test_v(45)_p([0.02, 0.4])_no(43).txt"
44,45,0.02530204009438854,"6/test_v(45)_p([0.02, 0.4])_no(44).txt"
45,45,0.05681445501818552,"6/test_v(45)_p([0.02, 0.4])_no(45).txt"
46,45,0.02487443495959306,"6/test_v(45)_p([0.02, 0.4])_no(46).txt"
47,45,0.13260686170634353,"6/test_v(45)_p([0.02, 0.4])_no(47).txt"
48,45,0.2925653050562289,"6/test_v(45)_p([0.02, 0.4])_no(48).txt"
49,45,0.21798152352206981,"6/test_v(45)_p([0.02, 0.4])_no(49).txt"
0,55,0.204341837982324,"6/test_v(55)_p([0.02, 0.4])_no(0).txt"
1,55,0.24956545394682333,"6/test_v(55)_p([0.02, 0.4])_no(1).txt"
2,55,0.3251561603528117,"6/test_v(55)_p([0.02, 0.4])_no(2).txt"
3,55,0.33938862222186444,"6/test_v(55)_p([0.02, 0.4])_no(3).txt"
4,55,0.06584161566912458,"6/test_v(55)_p([0.02, 0.4])_no(4).txt"
5,55,0.247627327409435,"6/test_v(55)_p([0.02, 0.4])_no(5).txt"
6,55,0.3093809612937847,"6/test_v(55)_p([0.02, 0.4])_no(6).txt"
7,55,0.3520452986607613,"6/test_v(55)_p([0.02, 0.4])_no(7).txt"
8,55,0.11161664416437435,"6/test_v(55)_p([0.02, 0.4])_no(8).txt"
9,55,0.3252297701391013,"6/test_v(55)_p([0.02, 0.4])_no(9).txt"
10,55,0.11641110867169376,"6/test_v(55)_p([0.02, 0.4])_no(10).txt"
11,55,0.056748842425245014,"6/test_v(55)_p([0.02, 0.4])_no(11).txt"
12,55,0.06918862156297897,"6/test_v(55)_p([0.02, 0.4])_no(12).txt"
13,55,0.2617860119760499,"6/test_v(55)_p([0.02, 0.4])_no(13).txt"
14,55,0.26159374774445127,"6/test_v(55)_p([0.02, 0.4])_no(14).txt"
15,55,0.17979448389790603,"6/test_v(55)_p([0.02, 0.4])_no(15).txt"
16,55,0.20891991389107253,"6/test_v(55)_p([0.02, 0.4])_no(16).txt"
17,55,0.1553913985800177,"6/test_v(55)_p([0.02, 0.4])_no(17).txt"
18,55,0.049090091910495404,"6/test_v(55)_p([0.02, 0.4])_no(18).txt"
19,55,0.2803327044549782,"6/test_v(55)_p([0.02, 0.4])_no(19).txt"
20,55,0.10431657604199687,"6/test_v(55)_p([0.02, 0.4])_no(20).txt"
21,55,0.3072918522399628,"6/test_v(55)_p([0.02, 0.4])_no(21).txt"
22,55,0.17775790866124672,"6/test_v(55)_p([0.02, 0.4])_no(22).txt"
23,55,0.2504990443685559,"6/test_v(55)_p([0.02, 0.4])_no(23).txt"
24,55,0.39057492897006874,"6/test_v(55)_p([0.02, 0.4])_no(24).txt"
25,55,0.3135759940445512,"6/test_v(55)_p([0.02, 0.4])_no(25).txt"
26,55,0.11658227711546246,"6/test_v(55)_p([0.02, 0.4])_no(26).txt"
27,55,0.04703747706452602,"6/test_v(55)_p([0.02, 0.4])_no(27).txt"
28,55,0.12197912250121878,"6/test_v(55)_p([0.02, 0.4])_no(28).txt"
29,55,0.06845597447315449,"6/test_v(55)_p([0.02, 0.4])_no(29).txt"
30,55,0.12540206293465636,"6/test_v(55)_p([0.02, 0.4])_no(30).txt"
31,55,0.14482200551446706,"6/test_v(55)_p([0.02, 0.4])_no(31).txt"
32,55,0.04330010631652718,"6/test_v(55)_p([0.02, 0.4])_no(32).txt"
33,55,0.027638384472220476,"6/test_v(55)_p([0.02, 0.4])_no(33).txt"
34,55,0.1926006337776085,"6/test_v(55)_p([0.02, 0.4])_no(34).txt"
35,55,0.07091475717313946,"6/test_v(55)_p([0.02, 0.4])_no(35).txt"
36,55,0.3060717093204333,"6/test_v(55)_p([0.02, 0.4])_no(36).txt"
37,55,0.10404674995526561,"6/test_v(55)_p([0.02, 0.4])_no(37).txt"
38,55,0.11986798563625609,"6/test_v(55)_p([0.02, 0.4])_no(38).txt"
39,55,0.3724055871353141,"6/test_v(55)_p([0.02, 0.4])_no(39).txt"
40,55,0.3785590831385704,"6/test_v(55)_p([0.02, 0.4])_no(40).txt"
41,55,0.2918869952779255,"6/test_v(55)_p([0.02, 0.4])_no(41).txt"
42,55,0.3989996381723716,"6/test_v(55)_p([0.02, 0.4])_no(42).txt"
43,55,0.36727501884107094,"6/test_v(55)_p([0.02, 0.4])_no(43).txt"
44,55,0.1904721138307381,"6/test_v(55)_p([0.02, 0.4])_no(44).txt"
45,55,0.2985251359900777,"6/test_v(55)_p([0.02, 0.4])_no(45).txt"
46,55,0.1437209605810045,"6/test_v(55)_p([0.02, 0.4])_no(46).txt"
47,55,0.229315895741891,"6/test_v(55)_p([0.02, 0.4])_no(47).txt"
48,55,0.3713037940818001,"6/test_v(55)_p([0.02, 0.4])_no(48).txt"
49,55,0.30868093621179415,"6/test_v(55)_p([0.02, 0.4])_no(49).txt"
0,65,0.1973086399979441,"6/test_v(65)_p([0.02, 0.4])_no(0).txt"
1,65,0.056658450276111744,"6/test_v(65)_p([0.02, 0.4])_no(1).txt"
2,65,0.20257273794662675,"6/test_v(65)_p([0.02, 0.4])_no(2).txt"
3,65,0.3819899816943743,"6/test_v(65)_p([0.02, 0.4])_no(3).txt"
4,65,0.32162510475763534,"6/test_v(65)_p([0.02, 0.4])_no(4).txt"
5,65,0.05187756262677792,"6/test_v(65)_p([0.02, 0.4])_no(5).txt"
6,65,0.14129192856212117,"6/test_v(65)_p([0.02, 0.4])_no(6).txt"
7,65,0.08198555068450898,"6/test_v(65)_p([0.02, 0.4])_no(7).txt"
8,65,0.20490882278973968,"6/test_v(65)_p([0.02, 0.4])_no(8).txt"
9,65,0.16564452734326676,"6/test_v(65)_p([0.02, 0.4])_no(9).txt"
10,65,0.20463973821588274,"6/test_v(65)_p([0.02, 0.4])_no(10).txt"
11,65,0.07832028820191038,"6/test_v(65)_p([0.02, 0.4])_no(11).txt"
12,65,0.3091311486931673,"6/test_v(65)_p([0.02, 0.4])_no(12).txt"
13,65,0.02038892056460435,"6/test_v(65)_p([0.02, 0.4])_no(13).txt"
14,65,0.13558655155560193,"6/test_v(65)_p([0.02, 0.4])_no(14).txt"
15,65,0.11295381349988469,"6/test_v(65)_p([0.02, 0.4])_no(15).txt"
16,65,0.06449506134341336,"6/test_v(65)_p([0.02, 0.4])_no(16).txt"
17,65,0.22746129394665757,"6/test_v(65)_p([0.02, 0.4])_no(17).txt"
18,65,0.07271082565973482,"6/test_v(65)_p([0.02, 0.4])_no(18).txt"
19,65,0.10731781339493589,"6/test_v(65)_p([0.02, 0.4])_no(19).txt"
20,65,0.3678435959959264,"6/test_v(65)_p([0.02, 0.4])_no(20).txt"
21,65,0.151573593582631,"6/test_v(65)_p([0.02, 0.4])_no(21).txt"
22,65,0.14374507409158493,"6/test_v(65)_p([0.02, 0.4])_no(22).txt"
23,65,0.2577708079034331,"6/test_v(65)_p([0.02, 0.4])_no(23).txt"
24,65,0.34644389021669036,"6/test_v(65)_p([0.02, 0.4])_no(24).txt"
